Date,Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Avg. Order Value,Revenue
20170101,(Other),"2,853",601,"3,521",16.81%,9.8,0:05:45,2.19%,77,R$464.54,"R$35,769.66"
20170101,Direct,"70,210","43,703","82,453",17.43%,8.72,0:05:43,2.93%,"2,415",R$529.65,"R$1,279,096.67"
20170101,Display,"15,274","5,336","22,120",36.22%,6.04,0:03:38,1.21%,268,R$624.46,"R$167,355.36"
20170101,Organic Search,"63,932","29,102","78,351",13.30%,9.72,0:06:30,2.46%,"1,930",R$571.37,"R$1,102,752.87"
20170101,Paid Search,"49,628","23,441","69,517",24.42%,9.31,0:06:13,2.95%,"2,054",R$649.00,"R$1,333,047.95"
20170101,Referral,"18,525","7,014","22,080",12.84%,9.59,0:06:13,3.66%,809,R$641.93,"R$519,323.04"
20170101,Social,"2,506",916,"2,820",16.13%,8.27,0:04:29,1.13%,32,R$467.68,"R$14,965.88"
20170102,(Other),"3,931",869,"4,792",20.58%,8.29,0:05:22,1.52%,73,R$396.34,"R$28,932.94"
20170102,Direct,"112,059","65,943","133,832",18.18%,8.51,0:05:57,2.50%,"3,350",R$665.78,"R$2,230,377.35"
20170102,Display,"22,820","7,636","33,282",31.26%,5.98,0:03:39,1.06%,353,R$601.00,"R$212,152.96"
20170102,Organic Search,"112,878","52,385","139,557",14.10%,9.28,0:06:35,2.12%,"2,965",R$656.04,"R$1,945,159.42"
20170102,Paid Search,"97,260","48,526","134,080",20.16%,8.96,0:06:01,2.24%,"3,005",R$714.82,"R$2,148,022.09"
20170102,Referral,"36,173","11,078","44,636",13.21%,9.39,0:06:25,3.26%,"1,453",R$731.22,"R$1,062,458.09"
20170102,Social,"3,546","1,304","4,022",16.78%,7.77,0:04:42,1.17%,47,R$506.66,"R$23,813.21"
20170103,(Other),"5,583","1,916","6,298",17.12%,6.97,0:04:32,0.60%,38,R$713.65,"R$27,118.82"
20170103,Direct,"114,908","67,887","137,263",17.75%,8.25,0:05:55,2.32%,"3,187",R$709.13,"R$2,259,982.65"
20170103,Display,"21,985","6,903","32,652",29.55%,6.15,0:03:52,1.10%,360,R$730.88,"R$263,115.14"
20170103,Email,1,1,1,0.00%,2,0:00:01,0.00%,0,R$0.00,R$0.00
20170103,Organic Search,"111,158","48,205","137,679",14.66%,9.14,0:06:36,2.06%,"2,843",R$681.58,"R$1,937,725.71"
20170103,Paid Search,"100,976","48,065","137,981",18.64%,9.13,0:06:14,2.46%,"3,400",R$753.60,"R$2,562,231.99"
20170103,Referral,"40,120","12,207","48,795",13.67%,9.03,0:06:13,3.25%,"1,587",R$725.27,"R$1,151,002.11"
20170103,Social,"3,733","1,383","4,195",16.42%,7.1,0:04:14,0.88%,37,R$426.19,"R$15,769.19"
20170104,(Other),"11,377","4,137","13,021",21.33%,6.7,0:04:08,0.45%,59,R$575.67,"R$33,964.77"
20170104,Direct,"123,309","76,567","144,978",19.08%,7.48,0:05:29,1.98%,"2,873",R$748.66,"R$2,150,894.34"
20170104,Display,"19,822","6,168","29,648",30.77%,5.99,0:03:47,1.00%,296,R$698.59,"R$206,783.79"
20170104,Email,2,1,3,0.00%,18.33,0:22:03,0.00%,0,R$0.00,R$0.00
20170104,Organic Search,"98,759","36,595","120,537",15.98%,8.86,0:06:31,1.89%,"2,280",R$727.78,"R$1,659,330.32"
20170104,Paid Search,"97,784","46,521","132,700",18.63%,8.93,0:06:03,2.32%,"3,085",R$724.24,"R$2,234,284.35"
20170104,Referral,"36,410","9,258","45,587",14.60%,8.77,0:06:11,2.96%,"1,348",R$753.39,"R$1,015,568.41"
20170104,Social,"18,121","15,347","18,858",32.58%,3.6,0:01:47,0.15%,28,R$471.39,"R$13,198.91"
20170105,(Other),"9,471","2,902","11,232",24.51%,6.55,0:04:13,0.56%,63,R$425.92,"R$26,833.15"
20170105,Direct,"116,550","72,002","139,035",19.35%,7.48,0:05:37,2.10%,"2,918",R$747.70,"R$2,181,777.70"
20170105,Display,"20,578","6,304","29,880",29.46%,6.21,0:04:03,1.26%,375,R$807.61,"R$302,855.28"
20170105,Organic Search,"94,024","34,938","115,775",15.95%,8.93,0:06:37,2.00%,"2,316",R$751.75,"R$1,741,054.55"
